"Date","Instagram Profile","Followers","Net Follower Growth","Published Posts & Reels","Public Engagements","Public Engagements per Post","% Follower Growth","Published Carousels","Published Videos","Published Photos","Likes","Comments","Top Hashtags by Lifetime Public Engagements"
"10-01-2025","josecuervotequila","110,933","6","0","0","0","0.0054%","","0","0","0","0",""
"10-01-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","casamigos","289,732","-16","1","218","218","-0.0055%","0","1","0","210","8",""
"10-01-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","drink818","1,190,761","-145","1","3,919","3,919","-0.0122%","1","0","0","3,854","65",""
"10-01-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","espolontequila","63,910","65","0","0","0","0.1018%","0","0","0","0","0",""
"10-01-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-01-2025","patron","430,697","107","0","0","0","0.0248%","0","0","0","0","0",""
"10-01-2025","tequilacazadores","37,887","4","0","0","0","0.0106%","0","0","0","0","0",""
"10-01-2025","teremana","779,472","-91","0","0","0","-0.0117%","0","0","0","0","0",""
"10-02-2025","josecuervotequila","110,930","-3","1","89","89","-0.0027%","1","0","0","86","3",""
"10-02-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","casamigos","289,705","-27","0","0","0","-0.0093%","0","0","0","0","0",""
"10-02-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","drink818","1,190,740","-21","1","1,054","1,054","-0.0018%","1","0","0","982","72",""
"10-02-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","espolontequila","63,948","38","0","0","0","0.0595%","0","0","0","0","0",""
"10-02-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-02-2025","patron","430,691","-6","0","0","0","-0.0014%","0","0","0","0","0",""
"10-02-2025","tequilacazadores","37,878","-9","0","0","0","-0.0238%","0","0","0","0","0",""
"10-02-2025","teremana","779,397","-75","0","0","0","-0.0096%","0","0","0","0","0",""
"10-03-2025","josecuervotequila","110,958","28","0","0","0","0.0252%","","0","0","0","0",""
"10-03-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","casamigos","289,690","-15","0","0","0","-0.0052%","0","0","0","0","0",""
"10-03-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","drink818","1,190,742","2","0","0","0","0.0002%","0","0","0","0","0",""
"10-03-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","espolontequila","63,981","33","0","0","0","0.0516%","0","0","0","0","0",""
"10-03-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-03-2025","patron","430,705","14","1","233","233","0.0033%","0","1","0","224","9","#PATRONTequila, #AustinCityLimits"
"10-03-2025","tequilacazadores","37,886","8","1","72","72","0.0211%","0","1","0","66","6","#TequilaCAZADORES, #RealTequilaForRealPeople"
"10-03-2025","teremana","779,322","-75","1","3,065","3,065","-0.0096%","1","0","0","2,993","72",""
"10-04-2025","josecuervotequila","110,977","19","1","76","76","0.0171%","0","1","0","71","5",""
"10-04-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","casamigos","289,654","-36","0","0","0","-0.0124%","0","0","0","0","0",""
"10-04-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","drink818","1,190,667","-75","0","0","0","-0.0063%","0","0","0","0","0",""
"10-04-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","espolontequila","64,019","38","0","0","0","0.0594%","0","0","0","0","0",""
"10-04-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-04-2025","patron","430,731","26","0","0","0","0.0060%","0","0","0","0","0",""
"10-04-2025","tequilacazadores","37,893","7","0","0","0","0.0185%","0","0","0","0","0",""
"10-04-2025","teremana","779,246","-76","0","0","0","-0.0098%","0","0","0","0","0",""
"10-05-2025","josecuervotequila","110,992","15","0","0","0","0.0135%","","0","0","0","0",""
"10-05-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","casamigos","289,637","-17","1","6","6","-0.0059%","0","1","0","0","6",""
"10-05-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","drink818","1,190,570","-97","1","493","493","-0.0081%","0","1","0","465","28",""
"10-05-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","espolontequila","64,046","27","0","0","0","0.0422%","0","0","0","0","0",""
"10-05-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-05-2025","patron","430,768","37","0","0","0","0.0086%","0","0","0","0","0",""
"10-05-2025","tequilacazadores","37,898","5","0","0","0","0.0132%","0","0","0","0","0",""
"10-05-2025","teremana","779,221","-25","0","0","0","-0.0032%","0","0","0","0","0",""
"10-06-2025","josecuervotequila","111,016","24","1","85","85","0.0216%","1","0","0","85","0",""
"10-06-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-06-2025","casamigos","289,628","-9","0","0","0","-0.0031%","0","0","0","0","0",""
"10-06-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-06-2025","drink818","1,190,447","-123","0","0","0","-0.0103%","0","0","0","0","0",""
"10-06-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-06-2025","espolontequila","64,072","26","0","0","0","0.0406%","0","0","0","0","0",""
"10-06-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-06-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-06-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-06-2025","patron","430,771","3","0","0","0","0.0007%","0","0","0","0","0",""
"10-06-2025","tequilacazadores","37,900","2","0","0","0","0.0053%","0","0","0","0","0",""
"10-06-2025","teremana","779,183","-38","0","0","0","-0.0049%","0","0","0","0","0",""
"10-07-2025","josecuervotequila","111,002","-14","1","80","80","-0.0126%","0","1","0","70","10","#thetequilathatinventedtequila, #NationalTacoDay"
"10-07-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","casamigos","289,697","69","0","0","0","0.0238%","0","0","0","0","0",""
"10-07-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","drink818","1,190,384","-63","0","0","0","-0.0053%","0","0","0","0","0",""
"10-07-2025","eljimadortequila","","","1","95","95","","0","0","1","94","1","#tacotuesday, #nationaltacoday, #eljimadortequila"
"10-07-2025","espolontequila","64,100","28","0","0","0","0.0437%","0","0","0","0","0",""
"10-07-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-07-2025","patron","430,750","-21","0","0","0","-0.0049%","0","0","0","0","0",""
"10-07-2025","tequilacazadores","37,899","-1","0","0","0","-0.0026%","0","0","0","0","0",""
"10-07-2025","teremana","779,082","-101","0","0","0","-0.0130%","0","0","0","0","0",""
"10-08-2025","josecuervotequila","111,013","11","1","95","95","0.0099%","0","1","0","89","6",""
"10-08-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","casamigos","289,684","-13","0","0","0","-0.0045%","0","0","0","0","0",""
"10-08-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","drink818","1,190,309","-75","0","0","0","-0.0063%","0","0","0","0","0",""
"10-08-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","espolontequila","64,142","42","1","616","616","0.0655%","0","1","0","592","24","#espolontequila, #drinkresponsibly, #Ad21"
"10-08-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","lunazultequila","","","1","84","84","","0","0","1","80","4",""
"10-08-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-08-2025","patron","430,744","-6","0","0","0","-0.0014%","0","0","0","0","0",""
"10-08-2025","tequilacazadores","37,897","-2","0","0","0","-0.0053%","0","0","0","0","0",""
"10-08-2025","teremana","778,989","-93","0","0","0","-0.0119%","0","0","0","0","0",""
"10-09-2025","josecuervotequila","111,029","16","0","0","0","0.0144%","","0","0","0","0",""
"10-09-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","casamigos","289,825","141","0","0","0","0.0487%","0","0","0","0","0",""
"10-09-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","drink818","1,190,186","-123","2","2,648","1,324","-0.0103%","1","1","0","2,560","88",""
"10-09-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","espolontequila","64,173","31","0","0","0","0.0483%","0","0","0","0","0",""
"10-09-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-09-2025","patron","430,783","39","0","0","0","0.0091%","0","0","0","0","0",""
"10-09-2025","tequilacazadores","37,897","0","0","0","0","0.0000%","0","0","0","0","0",""
"10-09-2025","teremana","779,007","18","0","0","0","0.0023%","0","0","0","0","0",""
"10-10-2025","josecuervotequila","111,038","9","0","0","0","0.0081%","","0","0","0","0",""
"10-10-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","casamigos","289,807","-18","1","378","378","-0.0062%","0","1","0","365","13",""
"10-10-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","drink818","1,190,110","-76","2","4,062","2,031","-0.0064%","1","1","0","3,934","128",""
"10-10-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","espolontequila","64,198","25","0","0","0","0.0390%","0","0","0","0","0",""
"10-10-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-10-2025","patron","430,794","11","0","0","0","0.0026%","0","0","0","0","0",""
"10-10-2025","tequilacazadores","37,893","-4","1","38","38","-0.0106%","0","0","1","37","1","#TequilaCocktail, #TequilaCAZADORES, #RealTequilaForRealPeople"
"10-10-2025","teremana","778,954","-53","0","0","0","-0.0068%","0","0","0","0","0",""
"10-11-2025","josecuervotequila","111,036","-2","1","294","294","-0.0018%","0","1","0","235","59",""
"10-11-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","casamigos","289,817","10","0","0","0","0.0035%","0","0","0","0","0",""
"10-11-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","drink818","1,190,143","33","2","18,754","9,377","0.0028%","1","1","0","18,446","308",""
"10-11-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","espolontequila","64,218","20","0","0","0","0.0312%","0","0","0","0","0",""
"10-11-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-11-2025","patron","430,793","-1","0","0","0","-0.0002%","0","0","0","0","0",""
"10-11-2025","tequilacazadores","37,885","-8","0","0","0","-0.0211%","0","0","0","0","0",""
"10-11-2025","teremana","778,929","-25","0","0","0","-0.0032%","0","0","0","0","0",""
"10-12-2025","josecuervotequila","111,062","26","0","0","0","0.0234%","","0","0","0","0",""
"10-12-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-12-2025","casamigos","289,780","-37","0","0","0","-0.0128%","0","0","0","0","0",""
"10-12-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-12-2025","drink818","1,190,473","330","1","12,569","12,569","0.0277%","1","0","0","12,396","173",""
"10-12-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-12-2025","espolontequila","64,239","21","1","208","208","0.0327%","1","0","0","204","4",""
"10-12-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-12-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-12-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-12-2025","patron","430,781","-12","0","0","0","-0.0028%","0","0","0","0","0",""
"10-12-2025","tequilacazadores","37,890","5","0","0","0","0.0132%","0","0","0","0","0",""
"10-12-2025","teremana","778,863","-66","0","0","0","-0.0085%","0","0","0","0","0",""
"10-13-2025","josecuervotequila","111,067","5","0","0","0","0.0045%","","0","0","0","0",""
"10-13-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-13-2025","casamigos","289,846","66","0","0","0","0.0228%","0","0","0","0","0",""
"10-13-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-13-2025","drink818","1,191,026","553","0","0","0","0.0465%","0","0","0","0","0",""
"10-13-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-13-2025","espolontequila","64,290","51","0","0","0","0.0794%","0","0","0","0","0",""
"10-13-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-13-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-13-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-13-2025","patron","430,836","55","0","0","0","0.0128%","0","0","0","0","0",""
"10-13-2025","tequilacazadores","37,901","11","0","0","0","0.0290%","0","0","0","0","0",""
"10-13-2025","teremana","778,925","62","0","0","0","0.0080%","0","0","0","0","0",""
"10-14-2025","josecuervotequila","111,113","46","1","81","81","0.0414%","0","1","0","77","4",""
"10-14-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-14-2025","casamigos","289,845","-1","0","0","0","-0.0003%","0","0","0","0","0",""
"10-14-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-14-2025","drink818","1,191,044","18","1","10,344","10,344","0.0015%","0","1","0","10,192","152",""
"10-14-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-14-2025","espolontequila","64,297","7","0","0","0","0.0109%","0","0","0","0","0",""
"10-14-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-14-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-14-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-14-2025","patron","430,813","-23","1","429","429","-0.0053%","1","0","0","426","3","#PATRONTequila, #HispanicHeritageMonth"
"10-14-2025","tequilacazadores","37,897","-4","0","0","0","-0.0106%","0","0","0","0","0",""
"10-14-2025","teremana","778,869","-56","1","622","622","-0.0072%","1","0","0","610","12",""
"10-15-2025","josecuervotequila","111,119","6","0","0","0","0.0054%","","0","0","0","0",""
"10-15-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-15-2025","casamigos","289,803","-42","0","0","0","-0.0145%","0","0","0","0","0",""
"10-15-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-15-2025","drink818","1,190,849","-195","1","1,216","1,216","-0.0164%","0","1","0","1,145","71",""
"10-15-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-15-2025","espolontequila","64,309","12","0","0","0","0.0187%","0","0","0","0","0",""
"10-15-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-15-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-15-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-15-2025","patron","430,835","22","1","1,046","1,046","0.0051%","0","0","1","1,035","11","#PatronTequila, #PatronCitrusCircuit, #COTA"
"10-15-2025","tequilacazadores","37,897","0","0","0","0","0.0000%","0","0","0","0","0",""
"10-15-2025","teremana","778,690","-179","0","0","0","-0.0230%","0","0","0","0","0",""
"10-16-2025","josecuervotequila","111,152","33","1","121","121","0.0297%","1","0","0","117","4",""
"10-16-2025","1800tequila","","","1","118","118","","0","1","0","102","16",""
"10-16-2025","casamigos","289,830","27","1","6","6","0.0093%","1","0","0","0","6",""
"10-16-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-16-2025","drink818","1,190,893","44","0","0","0","0.0037%","0","0","0","0","0",""
"10-16-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-16-2025","espolontequila","64,329","20","0","0","0","0.0311%","0","0","0","0","0",""
"10-16-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-16-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-16-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-16-2025","patron","430,860","25","0","0","0","0.0058%","0","0","0","0","0",""
"10-16-2025","tequilacazadores","37,889","-8","0","0","0","-0.0211%","0","0","0","0","0",""
"10-16-2025","teremana","778,728","38","0","0","0","0.0049%","0","0","0","0","0",""
"10-17-2025","josecuervotequila","111,186","34","0","0","0","0.0306%","","0","0","0","0",""
"10-17-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-17-2025","casamigos","289,819","-11","1","672","672","-0.0038%","0","1","0","656","16",""
"10-17-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-17-2025","drink818","1,191,030","137","0","0","0","0.0115%","0","0","0","0","0",""
"10-17-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-17-2025","espolontequila","64,349","20","0","0","0","0.0311%","0","0","0","0","0",""
"10-17-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-17-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-17-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-17-2025","patron","430,913","53","1","709","709","0.0123%","0","1","0","695","14","#PATRONTequila, #PATRONCitrusCircuit, #COTA"
"10-17-2025","tequilacazadores","37,894","5","0","0","0","0.0132%","0","0","0","0","0",""
"10-17-2025","teremana","778,675","-53","1","308","308","-0.0068%","0","1","0","289","19",""
"10-18-2025","josecuervotequila","111,206","20","1","72","72","0.0180%","0","1","0","69","3",""
"10-18-2025","1800tequila","","","1","119","119","","0","1","0","109","10",""
"10-18-2025","casamigos","289,841","22","0","0","0","0.0076%","0","0","0","0","0",""
"10-18-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-18-2025","drink818","1,191,096","66","1","1,657","1,657","0.0055%","0","1","0","1,398","259",""
"10-18-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-18-2025","espolontequila","64,372","23","0","0","0","0.0357%","0","0","0","0","0",""
"10-18-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-18-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-18-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-18-2025","patron","430,999","86","0","0","0","0.0200%","0","0","0","0","0",""
"10-18-2025","tequilacazadores","37,897","3","0","0","0","0.0079%","0","0","0","0","0",""
"10-18-2025","teremana","778,649","-26","0","0","0","-0.0033%","0","0","0","0","0",""
"10-19-2025","josecuervotequila","111,213","7","0","0","0","0.0063%","","0","0","0","0",""
"10-19-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-19-2025","casamigos","289,817","-24","0","0","0","-0.0083%","0","0","0","0","0",""
"10-19-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-19-2025","drink818","1,190,902","-194","1","8,502","8,502","-0.0163%","1","0","0","8,204","298",""
"10-19-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-19-2025","espolontequila","64,385","13","0","0","0","0.0202%","0","0","0","0","0",""
"10-19-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-19-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-19-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-19-2025","patron","431,020","21","0","0","0","0.0049%","0","0","0","0","0",""
"10-19-2025","tequilacazadores","37,904","7","0","0","0","0.0185%","0","0","0","0","0",""
"10-19-2025","teremana","778,621","-28","0","0","0","-0.0036%","0","0","0","0","0",""
"10-20-2025","josecuervotequila","111,212","-1","2","191","95.5","-0.0009%","0","2","0","157","34","#UFC321, #Sweeps, #CuervoUFC"
"10-20-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-20-2025","casamigos","289,818","1","0","0","0","0.0003%","0","0","0","0","0",""
"10-20-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-20-2025","drink818","1,190,994","92","0","0","0","0.0077%","0","0","0","0","0",""
"10-20-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-20-2025","espolontequila","64,411","26","0","0","0","0.0404%","0","0","0","0","0",""
"10-20-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-20-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-20-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-20-2025","patron","431,120","100","1","710","710","0.0232%","0","1","0","692","18","#PATRONTequila, #PATRONCitrusCircuit, #COTA"
"10-20-2025","tequilacazadores","37,898","-6","0","0","0","-0.0158%","0","0","0","0","0",""
"10-20-2025","teremana","778,485","-136","0","0","0","-0.0175%","0","0","0","0","0",""
"10-21-2025","josecuervotequila","111,224","12","0","0","0","0.0108%","","0","0","0","0",""
"10-21-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-21-2025","casamigos","289,855","37","1","202","202","0.0128%","0","0","1","197","5",""
"10-21-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-21-2025","drink818","1,191,175","181","2","2,588","1,294","0.0152%","2","0","0","2,516","72",""
"10-21-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-21-2025","espolontequila","64,428","17","1","344","344","0.0264%","0","1","0","319","25",""
"10-21-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-21-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-21-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-21-2025","patron","431,098","-22","0","0","0","-0.0051%","0","0","0","0","0",""
"10-21-2025","tequilacazadores","37,902","4","0","0","0","0.0106%","0","0","0","0","0",""
"10-21-2025","teremana","778,555","70","0","0","0","0.0090%","0","0","0","0","0",""
"10-22-2025","josecuervotequila","111,227","3","1","0","0","0.0027%","0","1","0","0","0","#CuervoPartner, #CuervoCollective"
"10-22-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-22-2025","casamigos","289,850","-5","0","0","0","-0.0017%","0","0","0","0","0",""
"10-22-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-22-2025","drink818","1,191,003","-172","0","0","0","-0.0144%","0","0","0","0","0",""
"10-22-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-22-2025","espolontequila","64,440","12","0","0","0","0.0186%","0","0","0","0","0",""
"10-22-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-22-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-22-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-22-2025","patron","431,142","44","1","449","449","0.0102%","0","1","0","425","24","#PATRONTequila, #PATRONCitrusCircuit, #COTA"
"10-22-2025","tequilacazadores","37,903","1","0","0","0","0.0026%","0","0","0","0","0",""
"10-22-2025","teremana","778,500","-55","1","302","302","-0.0071%","0","1","0","296","6",""
"10-23-2025","josecuervotequila","111,221","-6","1","186","186","-0.0054%","0","1","0","164","22","#CuervoPartner, #CuervoCollective"
"10-23-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","casamigos","289,851","1","0","0","0","0.0003%","0","0","0","0","0",""
"10-23-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","drink818","1,190,933","-70","0","0","0","-0.0059%","0","0","0","0","0",""
"10-23-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","espolontequila","64,458","18","0","0","0","0.0279%","0","0","0","0","0",""
"10-23-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","patron","431,163","21","0","0","0","0.0049%","0","0","0","0","0",""
"10-23-2025","tequilacazadores","37,894","-9","1","28","28","-0.0237%","0","1","0","27","1","#TequilaCAZADORES, #RealTequilaForRealPeople, #AwardShow"
"10-23-2025","teremana","778,427","-73","0","0","0","-0.0094%","0","0","0","0","0",""
"10-24-2025","josecuervotequila","111,269","48","0","0","0","0.0432%","","0","0","0","0",""
"10-24-2025","1800tequila","","","1","126","126","","0","1","0","119","7",""
"10-24-2025","casamigos","289,875","24","0","0","0","0.0083%","0","0","0","0","0",""
"10-24-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","drink818","1,190,947","14","0","0","0","0.0012%","0","0","0","0","0",""
"10-24-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","espolontequila","64,480","22","0","0","0","0.0341%","0","0","0","0","0",""
"10-24-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","patron","431,624","461","1","875","875","0.1069%","1","0","0","864","11","#PATRONTequila, #PATRONCitrusCircuit, #COTA"
"10-24-2025","tequilacazadores","37,893","-1","0","0","0","-0.0026%","0","0","0","0","0",""
"10-24-2025","teremana","778,408","-19","0","0","0","-0.0024%","0","0","0","0","0",""
"10-25-2025","josecuervotequila","111,289","20","0","0","0","0.0180%","","0","0","0","0",""
"10-25-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","casamigos","289,866","-9","0","0","0","-0.0031%","0","0","0","0","0",""
"10-25-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","drink818","1,190,875","-72","0","0","0","-0.0060%","0","0","0","0","0",""
"10-25-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","espolontequila","64,510","30","0","0","0","0.0465%","0","0","0","0","0",""
"10-25-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","patron","431,858","234","1","563","563","0.0542%","0","0","1","554","9","#PatronCristalino, #PATRONTequila, #CDMXGP"
"10-25-2025","tequilacazadores","37,905","12","0","0","0","0.0317%","0","0","0","0","0",""
"10-25-2025","teremana","778,389","-19","0","0","0","-0.0024%","0","0","0","0","0",""
"10-26-2025","josecuervotequila","111,304","15","0","0","0","0.0135%","","0","0","0","0",""
"10-26-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-26-2025","casamigos","289,898","32","0","0","0","0.0110%","0","0","0","0","0",""
"10-26-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-26-2025","drink818","1,190,814","-61","0","0","0","-0.0051%","0","0","0","0","0",""
"10-26-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-26-2025","espolontequila","64,535","25","0","0","0","0.0388%","0","0","0","0","0",""
"10-26-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
