"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"12-12-2025","Jose Cuervo USA","0","0","75","4","4","0","0%","0","0","0","0"
"12-13-2025","Jose Cuervo USA","0","0","75","1","1","0","0%","0","0","0","0"
"12-14-2025","Jose Cuervo USA","0","0","75","1","1","0","0%","0","0","0","0"
"12-15-2025","Jose Cuervo USA","0","0","75","9","9","0","0%","0","0","0","0"
"12-16-2025","Jose Cuervo USA","0","0","75","27","27","0","0%","0","0","0","32"
"12-17-2025","Jose Cuervo USA","1","4","79","12","12","1","8.33%","1","0","0","13"
"12-18-2025","Jose Cuervo USA","0","2","81","14","14","4","28.57%","4","0","0","7"
"12-19-2025","Jose Cuervo USA","0","1","82","15","15","1","6.67%","1","0","0","12"
"12-20-2025","Jose Cuervo USA","0","0","82","2","2","0","0%","0","0","0","5"
"12-21-2025","Jose Cuervo USA","0","1","83","5","5","0","0%","0","0","0","2"
"12-22-2025","Jose Cuervo USA","0","-1","82","9","9","0","0%","0","0","0","0"
"12-23-2025","Jose Cuervo USA","0","0","82","4","4","0","0%","0","0","0","0"
"12-24-2025","Jose Cuervo USA","0","0","82","9","9","3","33.33%","3","0","0","2"
"12-25-2025","Jose Cuervo USA","0","1","83","6","6","0","0%","0","0","0","4"
"12-26-2025","Jose Cuervo USA","0","1","84","2","2","0","0%","0","0","0","3"
"12-27-2025","Jose Cuervo USA","0","1","85","5","5","0","0%","0","0","0","1"
"12-28-2025","Jose Cuervo USA","0","0","85","4","4","0","0%","0","0","0","1"
"12-29-2025","Jose Cuervo USA","0","0","85","2","2","0","0%","0","0","0","0"
"12-30-2025","Jose Cuervo USA","0","0","85","6","6","0","0%","0","0","0","1"
"12-31-2025","Jose Cuervo USA","0","0","85","10","10","0","0%","0","0","0","1"
"01-01-2026","Jose Cuervo USA","0","0","85","29","29","0","0%","0","0","0","2"
"01-02-2026","Jose Cuervo USA","0","1","86","7","7","0","0%","0","0","0","2"
"01-03-2026","Jose Cuervo USA","0","0","86","1","1","0","0%","0","0","0","1"
"01-04-2026","Jose Cuervo USA","0","0","86","4","4","1","25%","1","0","0","14"
"01-05-2026","Jose Cuervo USA","0","-1","85","3","3","0","0%","0","0","0","12"
"01-06-2026","Jose Cuervo USA","0","0","85","1","1","0","0%","0","0","0","4"
"01-07-2026","Jose Cuervo USA","0","1","86","2","2","0","0%","0","0","0","4"
"01-08-2026","Jose Cuervo USA","0","0","86","3","3","0","0%","0","0","0","1"
"01-09-2026","Jose Cuervo USA","0","0","86","17","17","0","0%","0","0","0","21"
"01-10-2026","Jose Cuervo USA","0","0","86","19","19","0","0%","0","0","0","11"
"01-11-2026","Jose Cuervo USA","0","0","86","5","5","0","0%","0","0","0","15"
"01-12-2026","Jose Cuervo USA","0","0","86","2","2","0","0%","0","0","0","4"
"01-13-2026","Jose Cuervo USA","0","3","89","316","316","5","1.58%","5","0","0","969"
"01-14-2026","Jose Cuervo USA","0","19","108","172","172","0","0%","0","0","0","332"
"01-15-2026","Jose Cuervo USA","0","8","116","38","38","0","0%","0","0","0","129"
"01-16-2026","Jose Cuervo USA","0","0","116","35","35","0","0%","0","0","0","77"
"01-17-2026","Jose Cuervo USA","0","1","117","27","27","0","0%","0","0","0","49"
"01-18-2026","Jose Cuervo USA","0","0","117","22","22","0","0%","0","0","0","64"
"01-19-2026","Jose Cuervo USA","0","2","119","36","36","3","8.33%","3","0","0","57"
"01-20-2026","Jose Cuervo USA","0","2","121","27","27","0","0%","0","0","0","42"
"01-21-2026","Jose Cuervo USA","0","0","121","2","2","0","0%","0","0","0","27"
"01-22-2026","Jose Cuervo USA","0","2","123","19","19","0","0%","0","0","0","52"
"01-23-2026","Jose Cuervo USA","0","0","123","10","10","0","0%","0","0","0","40"
"01-24-2026","Jose Cuervo USA","0","3","126","24","24","0","0%","0","0","0","218"
"01-25-2026","Jose Cuervo USA","0","0","126","9","9","0","0%","0","0","0","57"
"01-26-2026","Jose Cuervo USA","0","0","126","48","48","0","0%","0","0","0","58"
"01-27-2026","Jose Cuervo USA","0","0","126","16","16","0","0%","0","0","0","52"
"01-28-2026","Jose Cuervo USA","0","1","127","62","62","1","1.61%","1","0","0","56"
"01-29-2026","Jose Cuervo USA","0","1","128","14","14","1","7.14%","1","0","0","32"
"01-30-2026","Jose Cuervo USA","0","0","128","17","17","0","0%","0","0","0","28"
"01-31-2026","Jose Cuervo USA","0","0","128","9","9","1","11.11%","1","0","0","23"
